ENSG00000000005.6	1142	1186	1182	318	277	309	413	427	371	862	850	831	237	204	227	298	317	314	590	591	591	182	153	149	204	215	193
ENSG00000002745.13	1956	1966	1951	2747	2921	2748	2264	2232	2286	1036	1009	988	1478	1501	1510	1204	1290	1223	6520	6613	6565	9598	9619	9593	7878	7727	7958
ENSG00000004534.15	284	261	273	227	238	250	317	333	369	75	100	105	85	86	82	123	123	105	49	58	48	50	50	50	71	80	50
ENSG00000004866.22	1138	1188	1163	2486	2488	2436	4011	4027	3990	350	366	366	726	783	731	1225	1251	1166	3329	3433	3247	7146	7244	7145	11735	11831	11776
ENSG00000005001.10	1344	1350	1336	2867	2814	2798	3114	3170	3132	275	285	231	484	482	477	542	596	574	598	568	605	1268	1261	1240	1360	1375	1313
ENSG00000005513.10	255	204	218	557	630	654	834	851	832	119	125	109	298	323	293	446	457	443	293	282	256	731	717	704	950	1051	1007
ENSG00000011009.11	5977	5957	5815	6283	6389	6353	5740	5784	5683	7198	7238	7085	7501	7615	7495	6820	7038	7042	5750	5809	5885	6115	6341	6319	5581	5551	5570
ENSG00000011201.12	1290	1344	1318	1586	1604	1665	769	717	748	9179	9306	9064	11217	11213	11114	5261	5097	4928	2062	2077	2084	2464	2418	2520	1152	1163	1178
ENSG00000014641.21	510	515	452	429	443	430	416	411	443	621	646	613	486	483	548	570	574	528	228	271	284	247	254	229	236	250	256
ENSG00000016391.11	3223	3130	3164	3733	3643	3748	7019	7110	7072	6946	7030	7024	8095	8009	7978	15409	15486	15682	5326	5454	5491	6301	6285	6177	11958	11954	11950
ENSG00000021300.14	65	85	92	85	63	64	63	82	77	65	60	55	54	43	44	48	52	47	343	337	356	293	263	256	275	328	293
ENSG00000022567.10	1319	1303	1331	2411	2411	2528	1734	1777	1828	923	861	852	1614	1587	1665	1146	1144	1114	292	238	275	515	508	540	353	399	337
ENSG00000025796.14	185	167	197	186	183	180	169	169	191	411	371	463	425	420	423	419	372	375	912	908	888	938	946	921	846	841	804
ENSG00000028203.19	4834	5019	4975	4270	4267	4384	9909	9837	10050	5833	5953	5856	5078	5050	5095	11832	11563	11663	12361	12066	12241	10294	10383	10111	24399	24231	24168
ENSG00000042813.8	3096	3077	3072	4212	4289	4179	443	439	453	8573	8469	8526	11584	11540	11712	1241	1146	1152	5086	5113	5089	7025	6947	6914	686	730	733
ENSG00000048028.12	539	553	564	1610	1697	1648	1025	1094	1077	767	778	719	2240	2278	2215	1438	1418	1428	708	676	662	2122	2049	1980	1276	1200	1292
ENSG00000050748.18	284	291	300	1210	1236	1201	308	311	310	50	65	70	255	215	231	48	59	58	355	381	380	1482	1422	1478	379	368	398
ENSG00000055609.21	232	225	252	177	149	157	238	216	231	1351	1357	1321	876	914	862	1253	1343	1342	370	393	363	268	265	270	389	404	363
ENSG00000058262.11	40240	39983	40125	40117	39810	39884	40013	39868	39810	4985	4789	4898	5670	5725	5583	3205	3191	3261	3854	3953	4028	4623	4507	4597	2561	2561	2468
ENSG00000062096.15	1738	1714	1736	6786	6557	6693	4688	4624	4710	841	872	831	3301	3294	3177	2323	2352	2386	723	694	730	2809	2764	2756	1979	1947	1975
ENSG00000062822.16	3092	3037	3097	1693	1735	1737	1550	1560	1522	478	473	483	271	274	265	217	236	220	1521	1596	1576	842	914	906	736	740	736
ENSG00000063601.17	942	959	882	3742	3671	3624	4308	4307	4300	166	204	174	742	783	733	804	869	880	726	699	633	2834	2841	2804	3146	3173	3329
ENSG00000064687.13	170	172	200	156	171	147	266	251	265	318	282	277	249	254	272	438	374	388	52	45	55	53	39	44	106	81	91
ENSG00000065054.14	2655	2608	2555	1356	1387	1395	2195	2241	2226	3185	3125	3118	1730	1747	1600	2608	2650	2680	6553	6341	6656	3532	3447	3555	5375	5428	5521
ENSG00000067225.21	1198	1147	1192	533	526	577	1031	1005	948	973	986	975	465	438	469	792	823	814	2957	2787	2828	1296	1254	1303	2476	2416	2377
ENSG00000068028.18	78	55	77	136	128	121	149	131	127	627	711	627	942	911	936	1100	1136	1181	158	166	163	209	266	232	296	322	294
ENSG00000070444.15	1379	1429	1335	1239	1251	1248	737	730	693	440	445	461	398	422	446	229	252	257	544	590	578	514	522	552	312	339	326
ENSG00000070495.15	117	129	128	277	283	268	110	106	94	229	265	254	545	519	528	182	202	154	842	843	910	1902	1880	1838	638	615	568
ENSG00000071994.11	1016	1009	939	1330	1364	1341	1505	1513	1516	859	858	885	1361	1280	1302	1410	1511	1381	530	517	539	819	802	758	816	872	870
ENSG00000073464.13	4070	4132	4037	2161	2184	2205	1015	1077	1048	2082	2024	2032	1120	1107	1108	565	587	588	3500	3481	3596	1935	1891	1913	892	944	963
ENSG00000073711.11	117	114	145	148	143	143	147	172	163	627	663	577	737	709	749	724	717	745	1574	1538	1561	1719	1846	1678	1669	1691	1745
ENSG00000075234.17	775	794	757	828	879	851	1473	1448	1541	359	349	369	420	396	401	686	741	666	231	268	252	262	223	287	441	438	450
ENSG00000076258.10	986	1046	967	9253	9055	9071	2514	2522	2484	1599	1604	1555	13929	14238	14135	3847	3964	3871	464	472	470	4052	4156	4213	1171	1137	1084
ENSG00000076662.11	531	551	521	1251	1214	1212	413	411	375	1909	1790	1852	4435	4611	4546	1426	1400	1438	391	393	392	957	974	936	311	305	292
ENSG00000078814.19	76	76	77	164	168	164	71	57	61	280	249	274	666	589	619	239	246	241	56	79	64	136	121	137	55	53	40
ENSG00000080561.14	7846	7847	7710	7060	6979	7050	5595	5591	5695	8780	8979	8814	7946	7869	7884	6345	6215	6311	7218	7151	7256	6422	6445	6503	5042	5092	5111
ENSG00000080839.12	6136	6205	6150	2362	2352	2231	1442	1521	1518	1046	1103	1136	383	443	459	258	219	246	2678	2481	2610	963	983	993	580	591	599
ENSG00000080845.19	2596	2470	2534	2766	2910	2879	3767	3833	3775	5707	5773	5768	6568	6510	6531	8802	8682	8881	11554	11336	11271	12760	12764	12973	17167	17445	17302
ENSG00000080947.16	5320	5337	5363	4013	3897	3895	2572	2575	2590	1425	1402	1345	1035	1030	1060	647	664	646	8351	8679	8338	6180	6274	6192	4003	4105	4037
ENSG00000081307.15	757	735	695	1440	1394	1379	3468	3450	3554	853	853	873	1635	1652	1587	4045	4060	4146	394	374	408	766	769	737	1937	1835	1791
ENSG00000084073.10	440	417	426	1054	1076	1093	1375	1388	1385	1061	1062	985	2510	2490	2557	3154	3313	3289	207	225	206	498	515	477	655	673	654
ENSG00000085382.12	357	345	363	618	572	580	306	342	372	855	821	906	1474	1459	1474	828	816	839	1698	1636	1655	2771	2842	2851	1632	1611	1621
ENSG00000085511.20	393	466	465	402	414	404	951	900	926	2219	2241	2356	2043	1954	2083	4529	4559	4397	245	221	255	226	244	228	507	528	460
